sensor_1,1616380249000,36.2
sensor_2,1616380249000,36.3
sensor_3,1616380249000,36.6
sensor_4,1616380249000,35.5
sensor_5,1616380249000,36.2
sensor_6,1616380249000,36.3
sensor_7,1616380249000,36.6
sensor_8,1616380249000,35.7
sensor_9,1616380249000,35.3
sensor_10,1616380249000,35.9
sensor_11,1616485515000,39.1
sensor_12,1616485516000,36.1
sensor_1,1616485517000,36.2
sensor_1,1616485518000,35.4
sensor_1,1616485519000,37.3
sensor_1,1616485520000,37.3
sensor_1,1616485521000,37.3
sensor_1,1616485522000,37.3
sensor_1,1616485525000,37.3
sensor_1,1616485530000,36.5
sensor_1,1616485531000,36.7
sensor_1,1616485532000,36.8
sensor_1,1616485533000,36.9
sensor_1,1616485534000,36.6
sensor_1,1616485535000,36.5
sensor_1,1616485536000,36.5
sensor_1,1616485537000,36.5
sensor_1,1616485538000,36.5
sensor_1,1616485539000,36.5
sensor_1,161648554,36.5
